GHNH,{'lbbh26': True},{'zcrj84': True},{'hpcg74': True},{'gnqr82': True}
GIJG,{'nxkt67': True},{u'dgnp97': False},{'jbcw54': True},{'hfvl58': True}
QFDB,{'zkxx27': True},{u'rvtc54': False},{'lbbh26': True},{'zpkh14': True}
VZQM,{'xqwl82': True},{'nnwv58': True},{u'fgcn82': True},{'kzwx29': True}
BIYU,{u'rwqm43': False},{'jbcw54': True},{'gqxl64': True},{'gwvr15': True}
FQGJ,{'wsxf27': True},{u'rhpp23': False},{'vldr62': True},{u'wlkr26': False}
WSUC,{'fjxp86': True},{'tpkc85': True},{'nxxk45': True},{'sqdz64': True}
FRCW,{'zpkh14': True},{'nnlq39': True},{'wpql77': True},{'fkdl45': True}
LKXW,{'bzjv23': True},{u'bbch26': False},{'fstr36': True},{'dqvn38': True}
QPVA,{'kllk76': True},{'qdhw26': True},{'qdsm51': True},{u'hcwr14': False}
JLIB,{'vhvs24': True},{u'xmrc41': False},{'xqwl82': True},{'qdhw26': True}
ULDC,{'tqkc53': True},{'fstr36': True},{'wfph73': True},{'qgjl24': True}
PLSQ,{u'hkdg84': False},{'mjsj26': True},{'btms29': True},{u'mrwx48': False}
IKPO,{u'kvts77': False},{u'sgxm11': False},{u'zkxx27': False},{u'zzgw23': False}
ZBAE,{u'lgbh66': False},{u'cqkw36': False},{u'jnsz73': False},{u'nnlq39': False}
YIAK,{'zlnj74': True},{'dcnr34': True},{'mzlr34': True},{'pnvn81': True}
VFDI,{u'mwvl22': False},{'phxl88': True},{u'fjnt27': False},{u'kllk76': False}
KGIN,{'gvtr92': True},{'rjjm36': True},{'wwmn19': True},{'ctbf19': True}
BHOD,{'sczq86': True},{'wxbq57': True},{'hvhs52': True},{u'rrjx88': False}
WSJT,{u'dsjs67': False},{u'qgpp28': False},{'rfnn65': True},{'fpnr63': True}
LDEC,{u'zhvx84': False},{u'dxxd43': False},{'djvd39': True},{'knjw47': True}
QOYI,{u'lgbh66': False},{u'cqkw36': False},{'bfnv68': True},{u'nnlq39': False}
LUXI,{u'hczx41': False},{u'rgtg62': False},{u'jnsz73': False},{u'nfqg69': False}
FUJT,{'ppwn77': True},{'xwkt74': True},{'jdvk46': True},{'rlnp34': True}
QVQY,{'vcgh16': True},{'gnmt51': True},{u'fclh66': False},{u'vsvl93': False}
LHLZ,{u'vsvl93': False},{u'jzpr28': False},{u'gzqj57': False},{u'xtwp73': False}
BSUQ,{'rlnp34': True},{'ncjm94': True},{u'trxz88': False},{u'rhtm52': False}
QRML,{'kvts77': True},{'sgxm11': True},{u'zkxx27': False},{u'bjtr49': False}
GYJV,{'wwmn19': True},{'gfls28': True},{'jswd24': True},{'pbkj29': True}
DOFD,{'bbwt67': True},{'cchn95': True},{'rgkj47': True},{'fxnj75': True}
FAEQ,{'ctbf19': True},{'xpzv87': True},{'fnsg64': True},{u'tkhj89': False}
ARES,{u'lvxj33': False},{u'tprv85': False},{'jrjm53': True},{u'nnwv58': False}
IMLX,{'jrjm53': True},{'vldr62': True},{u'plqk64': False},{'hrpb24': True}
PMDG,{u'qvcw94': False},{u'pkwr38': False},{u'pzjw57': False},{u'jgqq74': False}
YYJW,{u'wdrc53': False},{u'msnz42': False},{'xpzv87': True},{'hvmd26': True}
OAWQ,{'fjxp86': True},{'zdmf76': True},{'krpj58': True},{'kxpt34': True}
GEDD,{'lqdc33': True},{'xqsd44': True},{'njwk48': True},{'mwvb86': True}
OOMF,{'lqdc33': True},{'xqsd44': True},{'drgr13': True},{'sdxd66': True}
SPDG,{'ctbf19': True},{'xpzv87': True},{'tkhj89': True},{'fnsg64': True}
TEST,{'Tom Chance': True},{'Eloise Johnson': True},{'vqwt21': True},{'pwgd58': False}
ZTNE,{'hkdg84': True},{'mjsj26': True},{'btms29': True},{'mrwx48': True}
CGHB,{'rvtc54': True},{'zkxx27': True},{'zpkh14': True},{'lbbh26': True}
SDXA,{'bzjv23': True},{'bbch26': True},{'fstr36': True},{'dqvn38': True}
FCLJ,{u'wrxq64': False},{'vbnl43': True},{'nlws97': True},{'xmwt57': True}
UICT,{'zhlt55': True},{u'tgpx25': False},{'vbnl43': True},{u'jlzz12': False}
CXQZ,{u'xclf64': False},{'tcnt39': True},{'stmv46': True},{'zgsh46': True}
XQOK,{'kmxr83': True},{'gscc61': True},{u'fxck66': False},{u'hkbc55': False}
UMID,{'glzw57': True},{'xgql82': True},{'vrwd32': True},{'hcgl58': True}
JAIS,{'jrjm53': True},{'vldr62': True},{'plqk64': True},{u'hrpb24': False}
NMTX,{u'sfvr73': False},{u'szlk64': False},{u'xskl65': False},{u'rzlq73': False}
KQTX,{'tzlz46': True},{'qzbq57': True},{'rfqt25': True},{u'snhg38': False}
YUBL,{'pcsw55': True},{'fgdv78': True},{'fpfm54': True},{u'hbxz35': False}
VRMN,{u'gqjn33': False},{'nhsv85': True},{'jvtp41': True},{u'xlvc73': False}
NERJ,{'cxbj44': True},{'gsrd68': True},{'sskp63': True},{'djbr65': True}
YAYA,{u'jftb23': False},{u'pzjw57': False},{'rxfd77': True},{'hgpw45': True}
TYSV,{u'dccg25': False},{'dxgn84': True},{'qqds12': True},{u'bhgd66': False}
HRHN,{'cxbj44': True},{'gsrd68': True},{'tkqh92': True},{'pfcb37': True}
FGCI,{u'dhnw21': False},{u'vgmm84': False},{'fvgc24': True},{'lfrt64': True}
UUGU,{u'mtjz81': False},{u'snfj87': False},{u'pngz57': False},{u'srdl43': False}
WITR,{'tzlz46': True},{'qzbq57': True},{'rnlf45': True},{'zxvx19': True}
EBOS,{'lgqn53': True},{'bwxj22': True},{'cmxm85': True},{'pwdz83': True}
TSZS,{'tfjj68': True},{'flwl25': True},{u'drkl79': False},{u'pltw88': False}
HASB,{'bsmz23': True},{'qbxx39': True},{'qvjq53': True},{'zxhx39': True}
DYXE,{'tqfz24': True},{'xgdl62': True},{'ktvp37': True},{'ccjb79': True}
ZQKZ,{'fbdh95': True},{'zcls22': True},{u'cddw83': False},{'vpfx24': True}
JWSO,{u'vcgh16': False},{'gnmt51': True},{'vsvl93': True},{'fclh66': True}
OBIA,{'jzpr28': True},{'vsvl93': True},{u'xtwp73': False},{u'gzqj57': False}
GCZF,{'nxkt67': True},{u'dgnp97': False},{'jbcw54': True},{'hfvl58': True}
EEKS,{'gcxd83': True},{'ssrm46': True},{'srdl43': True},{'pngz57': True}
RMDY,{u'pcsh84': False},{u'kblm85': False},{'vbzf72': True},{u'mrqg94': False}
PQYH,{'rwqm43': True},{'jbcw54': True},{'gqxl64': True},{'gwvr15': True}
NDNF,{'glzw57': True},{'xgql82': True},{u'zcpj52': False},{'rzzk15': True}
ZWKO,{'wkxm72': True},{'qwtg58': True},{'dsgn37': True},{'vxpr22': True}
CENR,{u'bpnd28': False},{u'ckwk86': False},{u'hwcw47': False},{u'hjjf96': False}
WMSQ,{'kvpk56': True},{'pjtn29': True},{'wkxm72': True},{'ggsx68': True}
TQKF,{u'tfjj68': False},{'flwl25': True},{'pltw88': True},{'drkl79': True}
YMWW,{'snxf97': True},{u'mqfm75': False},{'mcgr62': True},{'jftb23': True}
CGZE,{'tfjj68': True},{'flwl25': True},{u'wpsq38': False},{'cmbz68': True}
BTKJ,{u'hplf28': False},{u'cprn16': False},{u'dnmh66': False},{u'kwnf68': False}
WAJC,{'jtqf86': True},{'nxxk45': True},{'pvlt86': True},{'pjch23': True}
FHCU,{u'lgbh66': False},{'cqkw36': True},{'nnlq39': True},{u'bfnv68': False}
XBLU,{'cmxm85': True},{'gjtv43': True},{'mzdw24': True},{u'txjx44': False}
UTVB,{'dsgs37': True},{'pbcj64': True},{u'tklt48': False},{u'xnck67': False}
DIXC,{'zhvx84': True},{u'dxxd43': False},{'knjw47': True},{'djvd39': True}
EJEQ,{'bhxq46': True},{u'nqsq41': True},{'zhlt55': True},{'hlnd96': True}
KJJO,{'bhxq46': True},{u'nqsq41': True},{'flgb73': True},{u'lmjr58': False}
LBCM,{'rgtd48': True},{u'zmgk33': False},{'fjks33': True},{'pvng53': True}
FKUI,{'dnnj87': True},{'dlms51': True},{'jrvh15': True},{u'nnzv86': False}
GRST,{u'hfbc81': False},{u'wplb68': False},{'dnnj87': True},{u'srfd66': False}
AIKS,{'xwml79': True},{u'tqhh37': False},{'dqws27': True},{'pzmp37': True}
XQYM,{'wsxf27': True},{'rhpp23': True},{'kktb39': True},{'bwrn38': True}
SONF,{'llfw57': True},{'pwsf78': True},{'dlms51': True},{'ssrm46': True}
VFFQ,{'xbrh57': True},{'shhn85': True},{'lcrm57': True},{'wdwd26': True}
UKHM,{'pkmc67': True},{'wgbg68': True},{'rwqm43': True},{u'dgkq11': False}
UPEX,{'mzqb55': True},{'hlnd96': True},{'cgsc62': True},{'dxgn84': True}
FSVQ,{'mzqb55': True},{'hlnd96': True},{'hpbb99': True},{u'tkcw67': False}
AKIN,{u'cnwq38': False},{'kcct22': True},{u'vbnm36': False},{'fxqn52': True}
FSLV,{'xrwv75': True},{'lsgv25': True},{'sqkm37': True},{u'wtbx76': False}
EIWX,{u'tnbw96': False},{u'dqvn53': False},{u'dwtd18': False},{u'xkvb22': False}
OHOH,{u'Jonny Davies': True},{u'Charlotte Martin': True},{u'ktmz31': True},{'hfbc81': True}
OBYY,{'kllk76': True},{'qdhw26': True},{'qdsm51': True},{u'hcwr14': True}
TFEY,{u'tnbw96': False},{'dqvn53': True},{'rbqf17': True},{'wltw54': True}
MZCM,{'dqvn53': True},{u'nnrj43': False},{'nqhl57': True},{'flkl31': True}
FGJR,{'rzml79': True},{'mjsj26': True},{'vvhd16': True},{'rjjm36': True}
XCEI,{u'vhvs24': True},{u'xmrc41': True},{'xqwl82': True},{'qdhw26': True}
BDWQ,{'rbqf17': True},{'wltw54': True},{u'dwtd18': False},{'xkvb22': True}
HJLZ,{u'zttf24': False},{u'xkvb22': False},{'gdbg96': True},{'frmp84': True}
ZUZK,{'vvhd16': True},{'vmpb43': True},{'ccrf56': True},{'xrwv75': True}
TKCQ,{'tzlz46': True},{'qzbq57': True},{'rfqt25': True},{'snhg38': True}
DEZS,{'dsjs67': False},{'qgpp28': False},{'rfnn65': False},{'fpnr63': True}
LTOG,{'wgbg68': True},{'pkmc67': False},{'dgkq11': True},{'rwqm43': True}
UAOY,{'zlht31': False},{'djxd26': True},{'nfwj75': False},{'fhgh35': False}
HSEK,{'psjg28': False},{'skvw42': False},{'qqgg77': True},{'smpt84': False}
ZRIP,{'qvcw94': False},{'pkwr38': False},{'pzjw57': False},{'jgqq74': False}
MDLQ,{'qznb77': True},{'rqsq74': False},{'crdh45': False},{'hmmw56': True}
PKXQ,{u'hxjq34': False},{u'ftxm51': False},{u'kwnf68': False},{u'dnmh66': False}
KJYD,{'rzzk15': True},{'cclr92': True},{'jnzg41': False},{'zhtv25': False}
TIMW,{'pvpn72': False},{'vnfb64': False},{'gkng34': False},{'bsmz23': True}
AFTY,{u'tprv85': False},{u'lvxj33': False},{'nnwv58': True},{'jrjm53': True}
XQVJ,{u'vcgh16': True},{u'gnmt51': True},{u'fclh66': True},{'vsvl93': True}
GAMD,{u'lgbh66': False},{u'cqkw36': False},{'bfnv68': True},{'nnlq39': True}
OLOI,{u'dgnp97': False},{u'nxkt67': False},{u'hfvl58': False},{u'jbcw54': False}
PGJN,{'kzwl18': True},{'drkl79': True},{u'rpts34': False},{'frmg56': True}
GXID,{'wgbg68': True},{u'pkmc67': False},{u'dgkq11': False},{'rwqm43': True}
JFWX,{u'jctx39': False},{'vxcv32': True},{'kmxr83': True},{u'mhkh22': False}
LUWY,{'cdgd25': True},{u'lrvd87': False},{'fxgn85': True},{u'zttf24': False}
JKBL,{'pmnd45': True},{u'jvcr31': False},{'sssq57': True},{'mbxw35': True}
ZNJZ,{u'jcmz24': False},{'jmvg29': True},{'hcnv86': True},{u'vbmp21': False}
XKNS,{'dhpw74': True},{'xfwm99': True},{u'rktz35': False},{u'fgxt43': False}
BXLF,{u'wcpn62': False},{'qqgg77': True},{u'rvpk48': False},{u'jfpl38': False}
SMPE,{u'wctr39': True},{'wjfm78': True},{'szsk38': True},{'zzgw23': True}
FOG8,{u'dblm25': False},{'dhnd95': True},{u'lmgm26': False},{u'jszb42': False}
2XR1,{u'mtjz81': False},{'snfj87': True},{'mbqq27': True},{'zght95': True}
